,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
3009,1/1/2013,1/31/2013,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Multi-Family (2-4 Unit),4,143000.0,0.459183673,0.022158685,149900.0,0.150753287,0.0,50.86830185,0.495031613,-0.050458365,53.82543103,0.180853117,-0.051225783,60.0,0.071428571,0.621621622,19.0,-0.05,0.461538462,103.0,0.980769231,0.072916667,528.0,0.005714286,-0.027624309,8.8,-0.6,-5.9,128.0,-34.0,-7.0,0.94779689,0.011776304,0.0202703,0.183333333,-0.030952381,0.048198198,,,,0.105263158,0.055263158,-0.048582996,"Hartford, CT",25540,1/9/2022 14:29
3010,3/1/2012,3/31/2012,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Multi-Family (2-4 Unit),4,117500.0,0.145659656,0.087962963,159900.0,0.069923051,-0.058858152,39.08988138,0.065111721,-0.091850042,59.96666667,0.069122041,-0.083612025,46.0,-0.178571429,0.12195122,14.0,-0.416666667,-0.176470588,102.0,0.133333333,-0.046728972,564.0,0.05027933,-0.117370892,12.3,2.7,-3.3,190.0,69.0,19.0,0.941130395,0.001655532,0.011776776,0.195652174,0.017080745,-0.023860021,,,,0.0,0.0,-0.117647059,"Hartford, CT",25540,1/9/2022 14:29
3011,2/1/2015,2/28/2015,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,126.0903253,0.020984171,-0.020980012,,,,,,,,,,,,,,,,,,,91.37914077,-1.0,-30.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3012,10/1/2019,10/31/2019,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,4283.671015,-0.015800535,-0.048781212,,,,,,,,,,0.279040837,0.00050067,0.018347735,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3013,5/1/2020,5/31/2020,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,133.4128003,-0.01478324,0.031363038,,,,,,,,,,,,,,,,,,,68.97639821,6.0,1.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3014,10/1/2016,10/31/2016,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,226.2497454,0.084732638,0.07293915,,,,,,,1225.399029,-0.006049341,-0.072785831,,,,,,,,,,0.10029748,-0.017389138,0.001102921,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3015,1/1/2018,1/31/2018,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,253.7093682,0.031907301,-0.090665627,,,,,,,990.8281945,-0.024262859,-0.161473797,,,,,,,,,,0.159671482,0.036009986,0.037541407,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3016,6/1/2014,6/30/2014,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Condo/Co-op,3,154500.0,-0.012779553,0.003246753,159900.0,-0.058858152,0.0,120.7207207,-0.002825207,-0.024812129,128.2386848,-0.008736621,0.037060668,285.0,0.239130435,0.153846154,161.0,0.158273381,0.412280702,370.0,-0.108433735,0.091445428,1785.0,-0.011080332,0.024096386,6.3,-1.5,-0.8,106.0,0.0,6.0,0.959244498,-0.001342821,0.007268087,0.09122807,-0.021815408,0.034547908,0.000560224,6.21e-06,,0.062111801,-0.024219134,0.053339871,"Hartford, CT",25540,1/9/2022 14:29
3017,8/1/2020,8/31/2020,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,2843.563476,-0.011929823,-0.349075394,,,,,,,,,,0.437128723,0.072828577,0.186306054,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3018,8/1/2016,8/31/2016,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,4975.296817,-0.012917891,-0.167341976,,,,,,,,,,0.197632081,0.001601251,0.034496907,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3019,4/1/2020,4/30/2020,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,135.4146678,0.018563009,0.070564736,,,,,,,,,,,,,,,,,,,63.41831518,0.0,-5.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3020,2/1/2016,2/29/2016,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,125.7279649,-0.011029927,-0.002873816,,,,,,,,,,,,,,,,,,,82.57992844,-3.0,-9.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3021,9/1/2017,9/30/2017,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,4277.014282,-0.012960376,-0.119521456,,,,,,,,,,0.239139296,0.0043259,0.060851007,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3022,3/1/2014,3/31/2014,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,6503.488576,0.014085682,0.097504874,,,,,,,,,,0.156127894,0.00154804,0.015969955,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3023,9/1/2014,9/30/2014,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,125.4664925,-0.019656454,-0.025954657,,,,,,,,,,,,,,,,,,,119.5478826,4.0,9.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3024,2/1/2014,2/28/2014,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,176.4022265,0.122689071,-0.03410868,,,,,,,1588.38154,0.006501583,-0.01308642,,,,,,,,,,0.082515989,-0.016632246,0.011269949,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3025,11/1/2021,11/30/2021,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,161.4123306,0.007685743,0.112023973,,,,,,,,,,,,,,,,,,,41.98007142,-3.0,-9.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3026,11/1/2015,11/30/2015,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,All Residential,-1,190000.0,-0.002362825,-0.014267185,189900.0,-0.073206442,-0.026153846,120.7340631,-0.047190007,-0.049546396,122.5829726,-0.057934727,-0.060861503,1031.0,-0.235163205,0.106223176,688.0,-0.208285386,-0.028248588,1145.0,-0.288819876,0.118164063,7305.0,-0.091756807,-0.046469129,7.1,1.1,-1.1,86.0,3.0,-29.0,0.959673924,-0.004184413,-9.61e-05,0.150339476,-0.021767349,0.014073382,0.004106776,-0.000244834,0.002801464,0.200581395,-0.02496521,0.062163316,"Hartford, CT",25540,1/9/2022 14:29
3027,9/1/2015,9/30/2015,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Multi-Family (2-4 Unit),4,155000.0,-0.009584665,0.0,169900.0,0.096129032,-0.026361032,55.48787903,-0.112098906,-0.02170601,62.25756939,0.019326558,0.009388606,70.0,-0.146341463,-0.014084507,75.0,0.119402985,0.41509434,124.0,-0.081481481,0.180952381,527.0,-0.033027523,-0.060606061,7.5,0.9,-0.4,52.0,-2.0,-49.0,0.966822779,0.012574839,0.015323896,0.257142857,0.062020906,0.116297787,,,,0.186666667,-0.290945274,0.054591195,"Hartford, CT",25540,1/9/2022 14:29
