zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85502,PO BOX,0,Globe,,,AZ,Gila County,America/Phoenix,928,NA,US,33.39,-110.78,Phoenix,2263
85532,PO BOX,0,Claypool,,,AZ,Gila County,America/Phoenix,928,NA,US,33.41,-110.83,Phoenix,3343
85539,STANDARD,0,Miami,,,AZ,Gila County,America/Phoenix,"928,520",NA,US,33.34,-110.89,Phoenix,2120
85541,STANDARD,0,Payson,Star Valley,,AZ,Gila County,America/Phoenix,928,NA,US,34.19,-111.17,Phoenix,17360
85542,STANDARD,0,Peridot,,,AZ,Gila County,America/Phoenix,928,NA,US,33.32,-110.32,Phoenix,2490
85544,STANDARD,0,Pine,Strawberry,,AZ,Gila County,America/Phoenix,928,NA,US,34.32,-111.54,Phoenix,2200
85545,STANDARD,0,Roosevelt,,,AZ,Gila County,America/Phoenix,928,NA,US,33.62,-111.03,Phoenix,310
85547,PO BOX,0,Payson,,,AZ,Gila County,America/Phoenix,928,NA,US,34.25,-111.28,Phoenix,2209
85553,PO BOX,0,Tonto Basin,,,AZ,Gila County,America/Phoenix,928,NA,US,33.83,-111.26,Phoenix,944
85554,PO BOX,0,Young,,,AZ,Gila County,America/Phoenix,928,NA,US,34.08,-111.01,Phoenix,452
85618,PO BOX,0,Mammoth,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.68,-110.62,Phoenix,1220
85623,STANDARD,0,Oracle,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.64,-110.84,Phoenix,4380
85631,STANDARD,0,San Manuel,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.62,-110.59,Phoenix,2500
85739,STANDARD,0,Tucson,"Catalina, Saddlebrooke",,AZ,Pinal County,America/Phoenix,520,NA,US,32.54,-110.95,Phoenix,16110
