zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
30090,STANDARD,0,Marietta,,,GA,Cobb County,America/New_York,"470,678,770",NA,US,33.95,-84.54,Atlanta,0
30091,PO BOX,0,Norcross,,,GA,Gwinnett County,America/New_York,678,NA,US,33.94,-84.2,Atlanta,903
30092,STANDARD,0,Peachtree Corners,"Berkeley Lake, Norcross, Peachtree Cor",Parkway,GA,Gwinnett County,America/New_York,678,NA,US,33.97,-84.23,Atlanta,32090
30093,STANDARD,0,Norcross,,,GA,Gwinnett County,America/New_York,678,NA,US,33.91,-84.18,Atlanta,44520
30094,STANDARD,0,Conyers,,,GA,Rockdale County,America/New_York,"770,470,678",NA,US,33.61,-84.05,Atlanta,28310
30095,PO BOX,0,Duluth,,,GA,Gwinnett County,America/New_York,678,NA,US,34,-84.15,Atlanta,747
30096,STANDARD,0,Duluth,"Berkeley Lake, Peachtree Cor, Peachtree Corners",,GA,Gwinnett County,America/New_York,"470,678,770",NA,US,34,-84.15,Atlanta,60360
30097,STANDARD,0,Duluth,"Johns Creek, Peachtree Cor, Peachtree Corners",,GA,Fulton County,America/New_York,"470,678,770",NA,US,34.03,-84.15,Atlanta,46340
30098,UNIQUE,0,Duluth,,State Farm Insurance Co,GA,Gwinnett County,America/New_York,678,NA,US,34,-84.15,Atlanta,28
30099,UNIQUE,0,Duluth,,Primerica Financial Services,GA,Gwinnett County,America/New_York,678,NA,US,34,-84.15,Atlanta,0
30101,STANDARD,0,Acworth,,Oak Grove,GA,Cobb County,America/New_York,"678,770",NA,US,34.05,-84.67,Atlanta,57910
30102,STANDARD,0,Acworth,,,GA,Cherokee County,America/New_York,"678,770",NA,US,34.1,-84.63,Atlanta,38510
30106,STANDARD,0,Austell,,,GA,Cobb County,America/New_York,"770,678",NA,US,33.82,-84.64,Atlanta,19140
30107,STANDARD,0,Ball Ground,,,GA,Cherokee County,America/New_York,"770,678",NA,US,34.33,-84.37,Atlanta,14670
30111,PO BOX,0,Clarkdale,,,GA,Cobb County,America/New_York,678,NA,US,33.82,-84.65,Atlanta,314
30114,STANDARD,0,Canton,Holly Springs,,GA,Cherokee County,America/New_York,"678,770",NA,US,34.24,-84.49,Atlanta,51740
30115,STANDARD,0,Canton,Holly Springs,,GA,Cherokee County,America/New_York,"678,770",NA,US,34.2,-84.4,Atlanta,44680
30122,STANDARD,0,Lithia Springs,Lithia Spgs,,GA,Douglas County,America/New_York,678,NA,US,33.77,-84.64,Atlanta,20410
30126,STANDARD,0,Mableton,Smyrna,,GA,Cobb County,America/New_York,678,NA,US,33.81,-84.56,Atlanta,35960
30127,STANDARD,0,Powder Springs,Powder Spgs,,GA,Cobb County,America/New_York,"470,678,770",NA,US,33.86,-84.68,Atlanta,63510
30133,PO BOX,0,Douglasville,,,GA,Douglas County,America/New_York,678,NA,US,33.74,-84.74,Atlanta,1123
30134,STANDARD,0,Douglasville,,,GA,Douglas County,America/New_York,"678,770",NA,US,33.74,-84.74,Atlanta,40210
30135,STANDARD,0,Douglasville,,,GA,Douglas County,America/New_York,"678,770",NA,US,33.67,-84.73,Atlanta,60000
30142,PO BOX,0,Holly Springs,,,GA,Cherokee County,America/New_York,678,NA,US,34.17,-84.49,Atlanta,574
30144,STANDARD,0,Kennesaw,,Barrett Parkway,GA,Cobb County,America/New_York,678,NA,US,34.02,-84.61,Atlanta,44120
30146,PO BOX,0,Lebanon,,,GA,Cherokee County,America/New_York,678,NA,US,34.21,-84.44,Atlanta,259
30152,STANDARD,0,Kennesaw,,,GA,Cobb County,America/New_York,678,NA,US,33.99,-84.65,Atlanta,41190
30154,PO BOX,0,Douglasville,,,GA,Douglas County,America/New_York,678,NA,US,33.74,-84.74,Atlanta,744
30156,PO BOX,0,Kennesaw,,,GA,Cobb County,America/New_York,678,NA,US,33.99,-84.65,Atlanta,872
30160,PO BOX,0,Kennesaw,,,GA,Cobb County,America/New_York,678,NA,US,33.99,-84.65,Atlanta,372
30168,STANDARD,0,Austell,,,GA,Cobb County,America/New_York,"678,770",NA,US,33.78,-84.59,Atlanta,22540
30169,PO BOX,0,Canton,,,GA,Cherokee County,America/New_York,678,NA,US,34.14,-84.3,Atlanta,843
30183,STANDARD,0,Waleska,,Lake Arrowhead,GA,Cherokee County,America/New_York,678,NA,US,34.31,-84.55,Atlanta,5260
30187,STANDARD,0,Winston,,,GA,Douglas County,America/New_York,678,NA,US,33.65,-84.86,Atlanta,8640
30188,STANDARD,0,Woodstock,"Holly Springs, Mountain Park",,GA,Cherokee County,America/New_York,"678,770",NA,US,34.1,-84.51,Atlanta,61190
30189,STANDARD,0,Woodstock,,,GA,Cherokee County,America/New_York,"678,770",NA,US,34.12,-84.57,Atlanta,35810
30205,STANDARD,0,Brooks,,,GA,Fayette County,America/New_York,,NA,US,33.29,-84.45,Atlanta,3320
30213,STANDARD,0,Fairburn,,,GA,Fulton County,America/New_York,770,NA,US,33.56,-84.58,Atlanta,34710
30214,STANDARD,0,Fayetteville,Woolsey,,GA,Fayette County,America/New_York,"770,678",NA,US,33.49,-84.49,Atlanta,29280
30215,STANDARD,0,Fayetteville,,,GA,Fayette County,America/New_York,"678,770",NA,US,33.44,-84.46,Atlanta,34640
30228,STANDARD,0,Hampton,,,GA,Henry County,America/New_York,770,NA,US,33.38,-84.28,Atlanta,42490
30236,STANDARD,0,Jonesboro,Lake Spivey,,GA,Clayton County,America/New_York,"770,678",NA,US,33.52,-84.35,Atlanta,41100
30237,PO BOX,0,Jonesboro,,,GA,Clayton County,America/New_York,678,NA,US,33.52,-84.35,Atlanta,1145
30238,STANDARD,0,Jonesboro,,,GA,Clayton County,America/New_York,"678,770",NA,US,33.49,-84.38,Atlanta,35500
30248,STANDARD,0,Locust Grove,,,GA,Henry County,America/New_York,"678,770",NA,US,33.34,-84.1,Atlanta,25740
30250,PO BOX,0,Lovejoy,,,GA,Clayton County,America/New_York,678,NA,US,33.44,-84.31,Atlanta,362
30252,STANDARD,0,Mcdonough,,,GA,Henry County,America/New_York,"678,770",NA,US,33.47,-84.06,Atlanta,44530
30253,STANDARD,0,Mcdonough,,Mc Donough,GA,Henry County,America/New_York,"678,770",NA,US,33.45,-84.14,Atlanta,54170
30260,STANDARD,0,Morrow,Lake City,,GA,Clayton County,America/New_York,404,NA,US,33.57,-84.34,Atlanta,22520
30268,STANDARD,0,Palmetto,"Chatt Hills, Chattahoochee Hills",,GA,Fulton County,America/New_York,678,NA,US,33.52,-84.66,Atlanta,9460
