zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
20226,UNIQUE,0,Washington,,Dept Treas Other Offices,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20227,UNIQUE,0,Washington,,Dept Treas Check Claims Div,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20228,UNIQUE,0,Washington,,Bureau Engav And Printing,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20229,UNIQUE,0,Washington,,Us Bureau Of Customs,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20230,UNIQUE,0,Washington,,Dept Commerce,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20232,UNIQUE,0,Washington,,Resolutn Trust Oversight Brd,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20233,UNIQUE,0,Washington,,Bureau Of Census,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20235,UNIQUE,0,Washington,,Dept Commerce Outside Hq,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20237,UNIQUE,0,Washington,,Broadcasting Bd Of Governors,DC,District of Columbia,America/New_York,202,NA,US,38.88,-77.01,DC,0
20238,UNIQUE,0,Washington,,Us Holocaust Memorial Museum,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20239,UNIQUE,0,Washington,,Bureau Of Public Debt,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20240,UNIQUE,0,Washington,,Dept Interior,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.04,DC,0
20241,UNIQUE,0,Washington,,Bureau Of Mines,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20242,UNIQUE,0,Washington,,National Park Service,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20244,UNIQUE,0,Washington,,Geological Survey,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20245,UNIQUE,0,Washington,,Bureau Of Indian Affairs,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.04,DC,0
20250,UNIQUE,0,Washington,,Dept Agriculture,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20251,UNIQUE,0,Washington,,Dept Ag Ofc Outside Hq,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20254,UNIQUE,0,Washington,,Social Securtiy Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20260,STANDARD,0,Washington,,Usps Headquarters,DC,District of Columbia,America/New_York,202,NA,US,38.88,-77.02,DC,0
20261,UNIQUE,0,Washington,,Usps Consumer Affairs,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20262,UNIQUE,0,Washington,,Mafic,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20265,UNIQUE,0,Washington,,Philatelic Sales Division,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20266,UNIQUE,0,Washington,,Philatelic Sales,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20268,UNIQUE,0,Washington,,Postal Regulatory Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20270,UNIQUE,0,Washington,,Presidential Transition Team,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20277,UNIQUE,0,Washington,,Washington Dc Brm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20289,UNIQUE,0,Washington,,Universal Postal Union Congr,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20299,UNIQUE,0,Washington,,Readasorus,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20301,UNIQUE,0,Washington,Pentagon,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20303,UNIQUE,0,Washington,,National Imaging And Mapping,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20306,UNIQUE,0,Washington,,Armed Forces Inst Pathology,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20307,UNIQUE,1,Washington,,Walter Reed Army Med Center,DC,District of Columbia,America/New_York,202,NA,US,38.97,-77.03,DC,76
20310,UNIQUE,0,Washington,,Dept Army Pentagon,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20314,UNIQUE,0,Washington,,Us Army Corp Of Engineers,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20317,UNIQUE,0,Washington,,Soldiers Airmens Home,DC,District of Columbia,America/New_York,202,NA,US,38.93,-77.01,DC,11
20318,UNIQUE,0,Washington,,"Army Criminal Invest, Joint Staff",DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20319,UNIQUE,0,Washington,Fort Mcnair,,DC,District of Columbia,America/New_York,202,NA,US,38.86,-77.02,DC,20
20330,UNIQUE,0,Washington,,Dept Air Force Pentagon,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20340,UNIQUE,0,Washington,,Defense Intelligence,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20350,UNIQUE,0,Washington,,Chief Naval Operation,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20355,UNIQUE,0,Washington,,Pentagon,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.04,DC,0
20370,UNIQUE,0,Washington,Navy Annex,,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20372,UNIQUE,0,Washington,,Bur Medicine Surgery,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20373,UNIQUE,0,Naval Anacost Annex,"Anacostia, Anacostia Anx, Jbab, Joint Base Anacostia Bolling, Washington",Naval Station Anacostia,DC,District of Columbia,America/New_York,202,NA,US,38.86,-77.01,DC,140
20374,STANDARD,0,Washington Navy Yard,"Washington, Washington Na",Navy Yard,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,29
20375,UNIQUE,0,Washington,,Naval Research Laboratory,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20376,STANDARD,0,Washington Navy Yard,"Naval Sea Sys, Naval Sea Systems Command, Washington, Washington Na",,DC,District of Columbia,America/New_York,202,NA,US,38.87,-76.99,DC,0
20380,UNIQUE,0,Washington,,Dept Navy Hq Marines Arl,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20388,STANDARD,0,Washington Navy Yard,"Washington, Washington Na",Naval Investigative Service,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20389,UNIQUE,0,Washington,,Naval Intelligence Com,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20390,UNIQUE,0,Washington,"Marine Barrks, Us Marine Corps Barracks",Dept Navy Other Offices,DC,District of Columbia,America/New_York,202,NA,US,38.88,-76.99,DC,329
20391,STANDARD,0,Washington Navy Yard,"Washington, Washington Na",Dept Navy Fed Credit Union,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
