zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
55349,STANDARD,0,Howard Lake,,,MN,Wright County,America/Chicago,320,NA,US,45.05,-94.06,Minneapolis,3600
55352,STANDARD,0,Jordan,,,MN,Scott County,America/Chicago,952,NA,US,44.66,-93.63,Minneapolis,9540
55356,STANDARD,0,Long Lake,Orono,,MN,Hennepin County,America/Chicago,,NA,US,44.98,-93.56,Minneapolis,5690
55357,STANDARD,0,Loretto,Independence,"Corcoran, Greenfield, Medina",MN,Hennepin County,America/Chicago,,NA,US,45.11,-93.67,Minneapolis,3370
55358,STANDARD,0,Maple Lake,Silver Creek,,MN,Wright County,America/Chicago,"763,320",NA,US,45.23,-94,Minneapolis,5100
55359,STANDARD,0,Maple Plain,"Independence, Minnetrista, Orono",Medina,MN,Hennepin County,America/Chicago,,NA,US,45,-93.66,Minneapolis,6300
55360,STANDARD,0,Mayer,,,MN,Carver County,America/Chicago,952,NA,US,44.88,-93.88,Minneapolis,3340
55361,PO BOX,0,Minnetonka Beach,"Minetonka Bch, Minnetnka Bch",,MN,Hennepin County,America/Chicago,,NA,US,44.93,-93.58,Minneapolis,33
55362,STANDARD,0,Monticello,Otsego,,MN,Wright County,America/Chicago,763,NA,US,45.3,-93.8,Minneapolis,19190
55363,STANDARD,0,Montrose,,,MN,Wright County,America/Chicago,763,NA,US,45.06,-93.91,Minneapolis,4840
55364,STANDARD,0,Mound,Minnetrista,"Orono, Shorewood",MN,Hennepin County,America/Chicago,"763,952",NA,US,44.93,-93.66,Minneapolis,14550
55365,PO BOX,1,Monticello,,,MN,Wright County,America/Chicago,763,NA,US,45.3,-93.8,Minneapolis,0
55367,STANDARD,0,New Germany,,,MN,Carver County,America/Chicago,320,NA,US,44.88,-93.97,Minneapolis,940
55368,STANDARD,0,Norwood Young America,"Norwood, Nya",,MN,Carver County,America/Chicago,952,NA,US,44.76,-93.92,Minneapolis,2190
55369,STANDARD,0,Osseo,Maple Grove,Hassan,MN,Hennepin County,America/Chicago,763,NA,US,45.13,-93.45,Minneapolis,36520
55371,STANDARD,0,Princeton,Baldwin,,MN,Mille Lacs County,America/Chicago,763,NA,US,45.57,-93.59,Minneapolis,15900
55372,STANDARD,0,Prior Lake,Shakopee,,MN,Scott County,America/Chicago,952,NA,US,44.72,-93.43,Minneapolis,33500
55373,STANDARD,0,Rockford,,"Greenfield, Independence",MN,Wright County,America/Chicago,763,NA,US,45.08,-93.73,Minneapolis,5390
55374,STANDARD,0,Rogers,Otsego,"Corcoran, Hassan",MN,Hennepin County,America/Chicago,763,NA,US,45.19,-93.55,Minneapolis,15750
55375,STANDARD,0,Saint Bonifacius,"Crown College, Minnetrista, St Bonifacius",Bible College,MN,Hennepin County,America/Chicago,,NA,US,44.9,-93.74,Minneapolis,4320
55376,STANDARD,0,Saint Michael,Hanover,,MN,Wright County,America/Chicago,,NA,US,45.21,-93.66,Minneapolis,17900
55377,PO BOX,0,Santiago,,,MN,Sherburne County,America/Chicago,763,NA,US,45.45,-93.83,Minneapolis,17
55378,STANDARD,0,Savage,,,MN,Scott County,America/Chicago,952,NA,US,44.75,-93.35,Minneapolis,30730
55379,STANDARD,0,Shakopee,Prior Lake,,MN,Scott County,America/Chicago,952,NA,US,44.77,-93.47,Minneapolis,45110
55380,PO BOX,1,Silver Creek,Maple Lake,Silver Lake,MN,Wright County,America/Chicago,,NA,US,45.32,-93.95,Minneapolis,0
55383,PO BOX,1,Norwood,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.76,-93.92,Minneapolis,0
55384,STANDARD,0,Spring Park,,,MN,Hennepin County,America/Chicago,,NA,US,44.94,-93.63,Minneapolis,1360
55386,STANDARD,0,Victoria,,,MN,Carver County,America/Chicago,952,NA,US,44.86,-93.65,Minneapolis,9460
